routecode,stopcode,tripdirection,long,lat
001,3182,1,-122.46448,37.7846730000001
001,3557,1,-122.493227,37.779815
001,3824,0,-122.464939,37.785017
001,3825,1,-122.464709,37.784902
001,3827,1,-122.466825,37.78463
001,3832,1,-122.471103,37.784454
001,3861,0,-122.434151,37.788931
001,3862,1,-122.43392,37.7887900000001
001,3886,0,-122.47325,37.7845150000001
001,3887,1,-122.472764,37.784365
001,3892,0,-122.446908,37.7873280000001
001,3893,1,-122.446885,37.7871490000001
001,4015,0,-122.396996,37.795415
001,4015,1,-122.396996,37.795415
001,4026,1,-122.420714,37.792385
001,4027,1,-122.409774,37.7937900000001
001,4028,1,-122.401118,37.7948200000001
001,4277,0,-122.493227,37.7797440000001
001,4277,1,-122.493227,37.7797440000001
001,4278,0,-122.493445,37.779798
001,4347,1,-122.397532,37.792608
001,6295,0,-122.434336,37.78984
001,6296,1,-122.433669,37.789839
001,6311,0,-122.421146,37.7915160000001
001,6312,0,-122.409116,37.7930430000001
001,6314,0,-122.401551,37.7940300000001
001,7160,0,-122.466819,37.784792
002,3892,0,-122.446908,37.7873280000001
002,3893,1,-122.446885,37.7871490000001
002,6021,1,-122.41956,37.7868
002,6022,1,-122.40793,37.7883
002,6089,0,-122.44688,37.7873700000001
002,6089,1,-122.44688,37.7873700000001
002,6591,0,-122.433151,37.7861580000001
002,6592,1,-122.432828,37.7860860000001
002,6603,0,-122.420198,37.7877970000001
002,6604,0,-122.408677,37.7892660000001
002,6606,0,-122.400674,37.7902980000001
002,6606,1,-122.400674,37.7902980000001
002,7227,0,-122.394917,37.794454
002,7227,1,-122.394917,37.794454
002,7543,0,-122.473077,37.782498
002,7543,1,-122.473077,37.782498
005,3183,0,-122.46371,37.7739700000001
005,3183,1,-122.46371,37.7739700000001
005,3927,0,-122.509934,37.7733210000001
005,3927,1,-122.509934,37.7733210000001
005,4229,0,-122.44627,37.7759
005,4230,1,-122.446828,37.775675
005,4732,0,-122.46411,37.77367
005,4733,1,-122.463837,37.773532
005,4735,0,-122.465739,37.7733180000001
005,4735,1,-122.465739,37.7733180000001
005,4748,0,-122.48452,37.7726000000001
005,4749,1,-122.4838,37.7725100000001
005,5056,0,-122.39352,37.7904100000001
005,5056,1,-122.39352,37.7904100000001
005,5389,0,-122.43822,37.77786
005,5390,1,-122.43851,37.7777300000001
005,5404,0,-122.42071,37.78009
005,5405,1,-122.420144,37.7799900000001
005,5642,1,-122.404586,37.786597
005,5648,1,-122.411329,37.7812900000001
005,5688,0,-122.40731,37.78468
005,5689,0,-122.400411,37.790156
005,7563,0,-122.412189,37.781166
005,7563,1,-122.412189,37.781166
006,3214,1,-122.46608,37.762093
006,3215,0,-122.466241,37.7620400000001
006,3244,1,-122.41852,37.7755000000001
006,3247,0,-122.47074,37.7488700000001
006,3247,1,-122.47074,37.7488700000001
006,4952,0,-122.43076,37.77214
006,4953,1,-122.430198,37.772069
006,4958,1,-122.445155,37.7701690000001
006,4963,1,-122.453075,37.76917
006,5309,0,-122.47761,37.7655260000001
006,5643,1,-122.405893,37.785652
006,5692,1,-122.419321,37.7750560000001
006,5694,0,-122.405744,37.7858570000001
006,5696,0,-122.419183,37.775243
006,5828,0,-122.507509,37.750927
006,5828,1,-122.507509,37.750927
006,6483,0,-122.453464,37.768331
006,6497,0,-122.393232,37.793347
006,6497,1,-122.393232,37.793347
006,7186,1,-122.477186,37.765384
006,7408,0,-122.418255,37.7751180000001
006,7619,1,-122.394037,37.7896890000001
008X,3144,1,-122.39747,37.782704
008X,3725,1,-122.402231,37.7761570000001
008X,3772,0,-122.402614,37.7122350000001
008X,4111,1,-122.405742,37.7973190000001
008X,4119,1,-122.410356,37.8005000000001
008X,4120,0,-122.410436,37.8003840000001
008X,4823,0,-122.407211,37.8071820000001
008X,4823,1,-122.407211,37.8071820000001
008X,4824,0,-122.405267,37.797331
008X,4824,1,-122.405267,37.797331
008X,4826,1,-122.403724,37.789746
008X,4886,0,-122.440874,37.7164730000001
008X,4900,0,-122.420354,37.7084840000001
008X,4970,0,-122.404362,37.7771480000001
008X,5926,1,-122.453896,37.7236110000001
008X,5927,0,-122.45356,37.72376
008X,6343,1,-122.41987,37.7086400000001
008X,6352,1,-122.402419,37.7122890000001
008X,6359,0,-122.4047,37.73011
008X,6364,1,-122.40537,37.73206
008X,6524,0,-122.40714,37.789953
008X,7334,1,-122.402179,37.712226
008X,7522,0,-122.413084,37.7062960000001
008X,7522,1,-122.413084,37.7062960000001
008X,7671,1,-122.441,37.7164100000001
009,3012,0,-122.401306,37.789067
009,3012,1,-122.401306,37.789067
009,3244,1,-122.41852,37.7755000000001
009,3245,0,-122.418575,37.7753680000001
009,3772,0,-122.402614,37.7122350000001
009,4895,0,-122.415534,37.706939
009,4895,1,-122.415534,37.706939
009,5335,0,-122.394964,37.7919820000001
009,5335,1,-122.394964,37.7919820000001
009,5643,1,-122.405893,37.785652
009,5650,1,-122.412613,37.7803630000001
009,5656,0,-122.412441,37.7805680000001
009,5694,0,-122.405744,37.7858570000001
009,6026,1,-122.407474,37.7660310000001
009,6027,0,-122.407646,37.765701
009,6038,1,-122.406267,37.753254
009,6039,0,-122.40644,37.7526800000001
009,6352,1,-122.402419,37.7122890000001
009,6364,1,-122.40537,37.73206
009,6365,0,-122.40556,37.7321700000001
009,6575,0,-122.422219,37.713553
009,6575,1,-122.422219,37.713553
012,3008,0,-122.396562,37.7853180000001
012,3476,0,-122.418333,37.7523210000001
012,3476,1,-122.418333,37.7523210000001
012,4658,1,-122.400863,37.7821520000001
012,4664,1,-122.413729,37.7719940000001
012,4665,0,-122.414302,37.771735
012,4677,1,-122.414024,37.752757
012,4678,0,-122.414208,37.752596
012,4968,0,-122.399913,37.780671
012,5852,1,-122.410037,37.7965560000001
012,5853,0,-122.410175,37.796405
012,5859,0,-122.422901,37.794784
012,5859,1,-122.422901,37.794784
012,6327,0,-122.40122,37.7931800000001
012,6333,1,-122.40131,37.7942800000001
014,3629,0,-122.42059,37.73229
014,4341,0,-122.469273,37.705764
014,4341,1,-122.469273,37.705764
014,5535,1,-122.40654,37.78259
014,5536,0,-122.40664,37.782725
014,5544,1,-122.41712,37.774216
014,5545,0,-122.417292,37.774306
014,5551,1,-122.41964,37.76554
014,5552,0,-122.41971,37.76455
014,5565,1,-122.41841,37.75273
014,5566,0,-122.418528,37.751964
014,5571,1,-122.421819,37.7424350000001
014,5572,0,-122.422,37.74244
014,5574,1,-122.4522,37.7088900000001
014,5592,0,-122.441149,37.7164550000001
014,5593,1,-122.440782,37.716642
014,5601,1,-122.44569,37.7117200000001
014,5602,0,-122.446532,37.711468
014,5603,0,-122.39493,37.7919650000001
014,5603,1,-122.39493,37.7919650000001
014,5620,1,-122.4313,37.72862
014,5621,0,-122.431412,37.7286960000001
014,6283,1,-122.455945,37.7112000000001
014,6498,0,-122.393324,37.79324
014,6498,1,-122.393324,37.79324
014,6708,1,-122.42192,37.7309500000001
014,7099,0,-122.46126,37.7060200000001
014,7099,1,-122.46126,37.7060200000001
014,7562,0,-122.394001,37.7926600000001
016X,3161,1,-122.405675,37.7855270000001
016X,4580,0,-122.42302,37.77597
016X,5300,0,-122.466746,37.7660010000001
016X,5301,1,-122.46623,37.765859
016X,5309,0,-122.47761,37.7655260000001
016X,5764,0,-122.495056,37.753493
016X,5765,1,-122.495422,37.7533320000001
016X,5772,1,-122.42195,37.775063
016X,5828,0,-122.507509,37.750927
016X,5828,1,-122.507509,37.750927
016X,7186,1,-122.477186,37.765384
016X,7309,0,-122.408576,37.7843140000001
017,390,1,-122.475096,37.72119
017,3356,0,-122.475302,37.7211100000001
017,3406,1,-122.47568,37.72887
017,3636,0,-122.483135,37.719886
017,3636,1,-122.483135,37.719886
017,5138,1,-122.471674,37.731363
017,5139,0,-122.471858,37.7312380000001
017,6739,0,-122.4658,37.740956
017,6739,1,-122.4658,37.740956
017,7211,0,-122.475786,37.7287830000001
018,3352,0,-122.475051,37.725785
018,3352,1,-122.475051,37.725785
018,3558,0,-122.493388,37.779815
018,3559,1,-122.493215,37.779548
018,3576,0,-122.506015,37.760519
018,3577,1,-122.505843,37.7603500000001
018,3604,1,-122.504141,37.7361080000001
018,3606,0,-122.505366,37.7360180000001
018,4843,0,-122.51006,37.7732140000001
018,4873,0,-122.499592,37.785015
018,4873,1,-122.499592,37.785015
018,5129,1,-122.49777,37.7170070000001
018,5130,0,-122.49766,37.7167700000001
018,7204,1,-122.509876,37.7732060000001
019,3093,0,-122.423195,37.8063750000001
019,3093,1,-122.423195,37.8063750000001
019,3196,1,-122.412395,37.780309
019,3197,1,-122.401821,37.7720340000001
019,3203,0,-122.405901,37.771554
019,3208,0,-122.413027,37.7772400000001
019,4131,1,-122.39622,37.7500020000001
019,4132,0,-122.396381,37.749868
019,4356,1,-122.400571,37.7548850000001
019,4558,1,-122.382973,37.7400030000001
019,4564,0,-122.382813,37.739717
019,5633,0,-122.365447,37.72792
019,5633,1,-122.365447,37.72792
019,5997,1,-122.41982,37.7867440000001
019,5998,0,-122.419969,37.7865660000001
019,5999,1,-122.420827,37.7917410000001
019,6000,0,-122.421057,37.791929
019,6197,0,-122.401672,37.754332
021,3089,1,-122.3967,37.79175
021,4733,1,-122.463837,37.773532
021,4923,1,-122.419743,37.7781880000001
021,4991,0,-122.438181,37.7749920000001
021,4992,1,-122.437405,37.775
021,5001,0,-122.446513,37.7739320000001
021,5002,1,-122.445679,37.7739460000001
021,5013,0,-122.42019,37.7772860000001
021,5643,1,-122.405893,37.785652
021,5650,1,-122.412613,37.7803630000001
